Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Age,Gender,State,City,Region,Customer_Segment,Category,Product,Brand,Quantity,Unit_Price,Discount_Percent,Discount_Amount,Sales,Cost,Profit,Shipping_Cost,Payment_Method,Sales_Channel,Order_Status,Returned,Delivery_Days,Customer_Rating
ORD100019,2025-10-14,CUST1115,Customer 1115,22,Other,Tamil Nadu,Chennai,North,Corporate,Home & Kitchen,Mixer,Prestige,3,4249.15,30,3824.23,8923.22,6532.28,2390.94,124.09,Net Banking,Mobile App,Delivered,No,3,5
ORD100020,2024-02-10,CUST1417,Customer 1417,57,Other,Karnataka,Mysore,South,Consumer,Beauty,Shampoo,Nivea,3,1378.95,10,413.69,3723.16,2867.16,856,107.81,Credit Card,Mobile App,Cancelled,No,0,0
ORD100021,2025-11-16,CUST1228,Customer 1228,30,Female,Tamil Nadu,Coimbatore,South,Consumer,Beauty,Face Wash,Lakme,2,1710.81,5,171.08,3250.54,2198.14,1052.4,38.52,UPI,Mobile App,Delivered,No,6,3
ORD100022,2024-12-25,CUST1183,Customer 1183,55,Female,Delhi,Delhi,Central,Corporate,Beauty,Perfume,Loreal,5,2488.12,20,2488.12,9952.48,8558.62,1393.86,55.38,Debit Card,Marketplace,Delivered,No,1,1
ORD100023,2025-08-13,CUST1704,Customer 1704,64,Other,Delhi,Delhi,South,Corporate,Beauty,Moisturizer,Mamaearth,2,1640.13,25,820.07,2460.19,1354.48,1105.71,233.63,Cash on Delivery,Website,Cancelled,No,0,0
ORD100024,2024-05-07,CUST1131,Customer 1131,30,Female,Tamil Nadu,Madurai,West,Home Office,Sports,Badminton Racket,Cosco,3,7754.7,25,5816.02,17448.08,11474.56,5973.52,183.39,Wallet,Mobile App,Cancelled,No,0,0
ORD100025,2024-11-07,CUST1524,Customer 1524,48,Other,Gujarat,Ahmedabad,East,Home Office,Grocery,Coffee,MDH,3,564.95,20,338.97,1355.88,953.79,402.09,127.28,Wallet,Marketplace,Delivered,No,3,1
ORD100026,2024-05-30,CUST1425,Customer 1425,58,Other,Maharashtra,Pune,West,Corporate,Electronics,Smartwatch,Apple,1,6022.54,30,1806.76,4215.78,3169.09,1046.69,199.07,Credit Card,Mobile App,Delivered,No,4,4
ORD100027,2024-08-12,CUST1468,Customer 1468,26,Female,Delhi,Delhi,Central,Home Office,Sports,Dumbbells,Yonex,2,12120.41,30,7272.25,16968.57,9613.92,7354.65,84.82,Net Banking,Social Media,Delivered,No,6,4
ORD100028,2024-09-22,CUST1245,Customer 1245,35,Female,West Bengal,Siliguri,East,Consumer,Grocery,Dry Fruits,Fortune,2,2107.66,15,632.3,3583.02,2876.16,706.86,144.69,Debit Card,Marketplace,Returned,Yes,0,1
ORD100029,2025-01-27,CUST1426,Customer 1426,21,Male,Haryana,Faridabad,Central,Home Office,Home & Kitchen,Cooker,Philips,2,17733.87,5,1773.39,33694.35,23144.86,10549.49,102.79,UPI,Social Media,Delivered,No,7,4
ORD100030,2025-03-05,CUST1030,Customer 1030,42,Female,Karnataka,Mysore,West,Consumer,Beauty,Face Wash,Loreal,5,4522.97,10,2261.49,20353.36,14473.59,5879.77,90.05,Net Banking,Website,Delivered,No,7,2
ORD100031,2025-10-20,CUST1217,Customer 1217,47,Female,Uttar Pradesh,Noida,East,Corporate,Beauty,Moisturizer,Mamaearth,4,943.84,30,1132.61,2642.75,1612,1030.75,87.23,Debit Card,Website,Delivered,No,6,4
ORD100032,2024-12-24,CUST1021,Customer 1021,57,Male,Gujarat,Ahmedabad,West,Home Office,Beauty,Face Wash,Maybelline,2,3953.34,0,0,7906.68,6316.62,1590.06,238.91,UPI,Mobile App,Delivered,No,4,2
ORD100033,2025-09-12,CUST1111,Customer 1111,55,Male,Tamil Nadu,Chennai,West,Corporate,Beauty,Hair Dryer,Loreal,5,5787.85,5,1446.96,27492.29,22177.24,5315.05,66.03,Wallet,Mobile App,Delivered,No,5,5
ORD100034,2025-09-06,CUST1071,Customer 1071,50,Other,Karnataka,Mangalore,West,Corporate,Electronics,Smartwatch,HP,1,95649.15,0,0,95649.15,63566.25,32082.9,124.24,UPI,Social Media,Delivered,No,6,1
ORD100035,2024-06-29,CUST1477,Customer 1477,45,Other,Haryana,Rohtak,South,Consumer,Home & Kitchen,Vacuum Cleaner,Milton,5,24145.47,15,18109.1,102618.25,77297.31,25320.94,232.32,Debit Card,Social Media,Delivered,No,5,3
ORD100036,2025-05-21,CUST1611,Customer 1611,62,Female,Tamil Nadu,Chennai,South,Consumer,Fashion,Watch,Roadster,3,2427.53,10,728.26,6554.33,4372.34,2181.99,86.84,Credit Card,Social Media,Delivered,No,1,5
ORD100037,2025-10-23,CUST1250,Customer 1250,37,Other,Maharashtra,Nashik,East,Corporate,Beauty,Moisturizer,The Body Shop,4,2771.82,0,0,11087.28,6438.47,4648.81,78.75,Net Banking,Marketplace,Returned,Yes,0,5
ORD100038,2025-12-20,CUST1123,Customer 1123,65,Other,Tamil Nadu,Coimbatore,South,Home Office,Beauty,Hair Dryer,Mamaearth,4,1734.86,15,1040.92,5898.52,3692.93,2205.59,188.68,Cash on Delivery,Marketplace,Delivered,No,3,2
ORD100039,2024-10-16,CUST1726,Customer 1726,52,Male,Gujarat,Vadodara,North,Home Office,Sports,Running Shoes,Decathlon,1,12539.64,15,1880.95,10658.69,6662.42,3996.27,69.48,Debit Card,Mobile App,Delivered,No,5,1
ORD100040,2024-01-13,CUST1259,Customer 1259,48,Male,West Bengal,Kolkata,West,Consumer,Sports,Cycling Helmet,Decathlon,5,4479.79,30,6719.69,15679.26,10902.65,4776.61,70.56,Net Banking,Website,Delivered,No,2,4
ORD100041,2024-05-01,CUST1305,Customer 1305,55,Female,Delhi,New Delhi,Central,Consumer,Fashion,Sneakers,H&M,5,9243.99,10,4621.99,41597.96,33527.08,8070.88,113.68,Net Banking,Website,Delivered,No,5,5
ORD100042,2024-09-02,CUST1482,Customer 1482,36,Male,Delhi,New Delhi,South,Corporate,Fashion,Jacket,H&M,2,6758.31,10,1351.66,12164.96,6701.47,5463.49,129.11,Wallet,Marketplace,Cancelled,No,0,0
ORD100043,2024-09-27,CUST1153,Customer 1153,35,Male,Delhi,New Delhi,North,Consumer,Sports,Cycling Helmet,Puma,5,10019.39,10,5009.69,45087.26,31123.55,13963.71,149.8,Debit Card,Marketplace,Returned,Yes,0,1
ORD100044,2025-02-16,CUST1753,Customer 1753,38,Other,Karnataka,Mangalore,North,Consumer,Beauty,Face Wash,Dove,3,3077.76,30,2769.98,6463.3,4488.51,1974.79,161.57,Wallet,Website,Delivered,No,5,1
ORD100045,2024-06-28,CUST1447,Customer 1447,58,Female,Rajasthan,Jaipur,North,Corporate,Sports,Cycling Helmet,Adidas,4,7928.77,30,9514.52,22200.56,18921.63,3278.93,69.93,Debit Card,Social Media,Cancelled,No,0,0
ORD100046,2024-12-03,CUST1038,Customer 1038,47,Male,Delhi,New Delhi,East,Corporate,Home & Kitchen,Lamp,Milton,4,17418.42,15,10451.05,59222.63,45521.63,13701,118.1,Debit Card,Website,Cancelled,No,0,0
ORD100047,2025-02-27,CUST1779,Customer 1779,21,Male,Uttar Pradesh,Ghaziabad,South,Corporate,Beauty,Face Cream,Mamaearth,1,1247.36,20,249.47,997.89,753.88,244.01,139.67,Cash on Delivery,Social Media,Delivered,No,5,5
ORD100048,2025-07-18,CUST1473,Customer 1473,25,Other,Haryana,Panipat,East,Home Office,Electronics,Laptop,Lenovo,1,66494.04,5,3324.7,63169.34,39427.22,23742.12,215.11,Wallet,Marketplace,Delivered,No,3,4
ORD100049,2025-04-12,CUST1072,Customer 1072,35,Female,West Bengal,Kolkata,East,Consumer,Beauty,Face Cream,Dove,5,996.16,10,498.08,4482.72,3829.21,653.51,141.81,Debit Card,Marketplace,Delivered,No,6,5
ORD100050,2024-12-19,CUST1715,Customer 1715,33,Other,West Bengal,Siliguri,West,Consumer,Grocery,Dry Fruits,Fortune,3,1402.2,25,1051.65,3154.95,2209.3,945.65,100.79,Debit Card,Social Media,Delivered,No,7,2
ORD100051,2025-05-22,CUST1103,Customer 1103,51,Female,Telangana,Hyderabad,West,Home Office,Sports,Cycling Helmet,Puma,1,2155.82,20,431.16,1724.66,1443.54,281.12,222.32,Credit Card,Website,Delivered,No,1,2
ORD100052,2025-12-10,CUST1325,Customer 1325,58,Other,Tamil Nadu,Madurai,North,Home Office,Beauty,Face Cream,Loreal,4,3951.54,20,3161.23,12644.93,10511.38,2133.55,219.06,UPI,Mobile App,Delivered,No,8,5
ORD100053,2025-03-20,CUST1048,Customer 1048,38,Male,Maharashtra,Mumbai,East,Corporate,Sports,Dumbbells,Adidas,1,11477.43,5,573.87,10903.56,7593.39,3310.17,182.68,Credit Card,Mobile App,Delivered,No,5,3
ORD100054,2024-03-21,CUST1473,Customer 1473,58,Female,Haryana,Faridabad,North,Corporate,Grocery,Spices,Fortune,5,2183.56,10,1091.78,9826.02,7018.04,2807.98,158.29,Debit Card,Mobile App,Delivered,No,8,3
ORD100055,2025-10-16,CUST1495,Customer 1495,24,Male,Rajasthan,Udaipur,East,Home Office,Electronics,Mouse,Sony,4,82992.46,30,99590.95,232378.89,192630.55,39748.34,73.83,Debit Card,Marketplace,Delivered,No,7,5
ORD100056,2025-09-12,CUST1225,Customer 1225,58,Male,Uttar Pradesh,Lucknow,North,Home Office,Electronics,Keyboard,Apple,4,100024.25,15,60014.55,340082.45,274104.59,65977.86,80.63,Wallet,Website,Delivered,No,5,2
ORD100057,2024-05-14,CUST1553,Customer 1553,41,Other,Rajasthan,Udaipur,East,Corporate,Home & Kitchen,Vacuum Cleaner,Prestige,1,22763.29,20,4552.66,18210.63,14507.84,3702.79,68.64,Debit Card,Marketplace,Delivered,No,5,2
ORD100058,2025-11-23,CUST1550,Customer 1550,25,Female,Haryana,Faridabad,Central,Corporate,Electronics,Mouse,HP,4,116088.73,20,92870.98,371483.94,215386.37,156097.57,116.81,Wallet,Marketplace,Delivered,No,6,3
ORD100059,2025-09-16,CUST1120,Customer 1120,26,Male,Uttar Pradesh,Agra,West,Consumer,Electronics,Smartwatch,Logitech,2,77894.46,30,46736.68,109052.24,92705.08,16347.16,96.48,UPI,Mobile App,Delivered,No,1,3
ORD100060,2025-11-17,CUST1631,Customer 1631,44,Female,West Bengal,Siliguri,South,Corporate,Grocery,Cooking Oil,MDH,5,1076.86,10,538.43,4845.87,4081.13,764.74,174.08,Cash on Delivery,Mobile App,Delivered,No,1,3
ORD100061,2025-10-22,CUST1094,Customer 1094,60,Male,Tamil Nadu,Madurai,East,Consumer,Home & Kitchen,Cooker,Milton,3,1748.61,15,786.87,4458.96,2731.72,1727.24,56.88,Credit Card,Mobile App,Delivered,No,1,1
ORD100062,2024-05-31,CUST1113,Customer 1113,60,Male,Maharashtra,Nagpur,East,Consumer,Electronics,Smartwatch,Lenovo,5,838.85,10,419.43,3774.82,3306.3,468.52,148.85,Net Banking,Marketplace,Delivered,No,3,1
ORD100063,2025-03-07,CUST1608,Customer 1608,24,Female,Uttar Pradesh,Greater Noida,Central,Consumer,Electronics,Headphones,Apple,5,14081.09,5,3520.27,66885.18,47298.6,19586.58,201.16,Net Banking,Website,Cancelled,No,0,0
ORD100064,2025-04-14,CUST1503,Customer 1503,63,Female,Gujarat,Surat,East,Home Office,Sports,Cycling Helmet,Decathlon,1,1194.13,30,358.24,835.89,693.46,142.43,123.78,Credit Card,Website,Delivered,No,2,1
ORD100065,2025-04-09,CUST1667,Customer 1667,53,Other,Telangana,Warangal,West,Corporate,Fashion,Dress,Zara,5,7383.49,5,1845.87,35071.58,28468.36,6603.22,55.17,Credit Card,Social Media,Returned,Yes,0,2
ORD100066,2024-11-16,CUST1069,Customer 1069,23,Male,Telangana,Hyderabad,North,Home Office,Home & Kitchen,Vacuum Cleaner,Bajaj,4,7984.96,15,4790.98,27148.86,18285.28,8863.58,63.58,Wallet,Marketplace,Delivered,No,2,4
ORD100067,2024-12-28,CUST1107,Customer 1107,54,Other,Delhi,Delhi,West,Consumer,Fashion,T-Shirt,Zara,4,10456.68,0,0,41826.72,36371.33,5455.39,162.09,UPI,Marketplace,Delivered,No,4,2
ORD100068,2024-08-19,CUST1274,Customer 1274,19,Male,Karnataka,Mangalore,East,Corporate,Grocery,Biscuits,Aashirvaad,4,2120.63,0,0,8482.52,6370.1,2112.42,174.72,Debit Card,Website,Returned,Yes,0,3
ORD100069,2025-10-10,CUST1379,Customer 1379,37,Other,Delhi,New Delhi,Central,Consumer,Fashion,Sneakers,Roadster,1,1373.56,10,137.36,1236.2,833.38,402.82,129.8,UPI,Mobile App,Delivered,No,6,5
ORD100070,2025-11-08,CUST1117,Customer 1117,40,Female,Karnataka,Mysore,North,Corporate,Fashion,T-Shirt,Puma,4,5982.24,30,7178.69,16750.27,11502.09,5248.18,77.43,Wallet,Social Media,Cancelled,No,0,0
ORD100071,2025-09-05,CUST1297,Customer 1297,38,Male,Maharashtra,Nashik,West,Consumer,Grocery,Coffee,Tata,1,68.83,15,10.32,58.51,50.43,8.08,198.82,Credit Card,Social Media,Delivered,No,1,4
ORD100072,2024-02-13,CUST1415,Customer 1415,63,Other,Delhi,Delhi,West,Corporate,Grocery,Tea,Britannia,4,95.92,5,19.18,364.5,304.17,60.33,156.67,UPI,Social Media,Cancelled,No,0,0
ORD100073,2025-12-07,CUST1081,Customer 1081,43,Female,Rajasthan,Udaipur,East,Consumer,Electronics,Monitor,Dell,3,11031.52,5,1654.73,31439.83,19816.35,11623.48,159.55,Debit Card,Mobile App,Cancelled,No,0,0
ORD100074,2025-10-22,CUST1779,Customer 1779,59,Male,Tamil Nadu,Coimbatore,West,Home Office,Electronics,Smartphone,Lenovo,2,28734.13,10,5746.83,51721.43,32815.67,18905.76,68.17,Net Banking,Social Media,Delivered,No,3,4
ORD100075,2025-10-04,CUST1606,Customer 1606,21,Female,Rajasthan,Udaipur,West,Corporate,Sports,Running Shoes,Nivia,3,2519.07,5,377.86,7179.35,5059.6,2119.75,168.9,UPI,Website,Delivered,No,2,3
ORD100076,2025-04-18,CUST1193,Customer 1193,38,Other,Delhi,Delhi,Central,Consumer,Home & Kitchen,Table,Prestige,5,13969.33,0,0,69846.65,48781.75,21064.9,208.16,UPI,Social Media,Returned,Yes,0,4
ORD100077,2024-06-25,CUST1163,Customer 1163,41,Female,Gujarat,Vadodara,East,Corporate,Electronics,Monitor,HP,1,30105.37,30,9031.61,21073.76,18482.22,2591.54,145.3,Cash on Delivery,Marketplace,Cancelled,No,0,0
ORD100078,2024-12-03,CUST1618,Customer 1618,27,Female,Tamil Nadu,Chennai,Central,Home Office,Sports,Running Shoes,Yonex,1,8502.06,25,2125.51,6376.55,4105.02,2271.53,189.22,Credit Card,Marketplace,Returned,Yes,0,1
ORD100079,2024-03-27,CUST1702,Customer 1702,51,Male,Rajasthan,Jodhpur,Central,Corporate,Home & Kitchen,Cookware Set,Philips,3,14083.32,20,8449.99,33799.97,27660.24,6139.73,177.43,UPI,Marketplace,Returned,Yes,0,4
ORD100080,2024-07-15,CUST1520,Customer 1520,52,Other,Tamil Nadu,Coimbatore,Central,Consumer,Home & Kitchen,Bedsheet,Philips,2,24999.42,10,4999.88,44998.96,25895.3,19103.66,215.77,Net Banking,Social Media,Delivered,No,1,3
ORD100081,2025-03-24,CUST1460,Customer 1460,32,Other,Rajasthan,Jaipur,East,Corporate,Fashion,Sneakers,Nike,1,5107.05,10,510.7,4596.35,3998.66,597.69,164.33,Credit Card,Marketplace,Returned,Yes,0,2
ORD100082,2025-01-26,CUST1257,Customer 1257,21,Other,West Bengal,Siliguri,Central,Consumer,Sports,Running Shoes,Puma,5,8053.66,10,4026.83,36241.47,29702.57,6538.9,206.28,Wallet,Website,Delivered,No,8,3
ORD100083,2025-04-05,CUST1358,Customer 1358,19,Female,Haryana,Panipat,Central,Corporate,Home & Kitchen,Cooker,Usha,5,3896.88,25,4871.1,14613.3,8479.59,6133.71,230.31,Credit Card,Social Media,Delivered,No,1,4
ORD100084,2024-04-11,CUST1713,Customer 1713,26,Other,Uttar Pradesh,Agra,Central,Consumer,Electronics,Monitor,Lenovo,3,95069.99,10,28521,256688.97,144423.5,112265.47,231.83,UPI,Website,Delivered,No,8,4
ORD100085,2024-04-23,CUST1469,Customer 1469,22,Male,Haryana,Rohtak,West,Home Office,Home & Kitchen,Chair,Usha,3,6131.6,5,919.74,17475.06,9886.64,7588.42,122.36,Net Banking,Website,Cancelled,No,0,0
ORD100086,2024-10-25,CUST1685,Customer 1685,23,Other,Maharashtra,Pune,North,Home Office,Sports,Running Shoes,Cosco,4,323,20,258.4,1033.6,650.53,383.07,121.64,Net Banking,Website,Returned,Yes,0,3
ORD100087,2025-01-17,CUST1673,Customer 1673,58,Male,Uttar Pradesh,Prayagraj,East,Consumer,Beauty,Face Cream,Dove,3,4521.8,20,2713.08,10852.32,8792.68,2059.64,105.86,UPI,Marketplace,Returned,Yes,0,5
ORD100088,2025-10-08,CUST1301,Customer 1301,30,Male,West Bengal,Siliguri,East,Corporate,Grocery,Biscuits,Fortune,2,2038.17,5,203.82,3872.52,3044.94,827.58,237.59,Net Banking,Social Media,Delivered,No,4,1
ORD100089,2024-10-19,CUST1377,Customer 1377,45,Female,Uttar Pradesh,Kanpur,East,Consumer,Grocery,Dry Fruits,Taj,3,2162.24,0,0,6486.72,5421.04,1065.68,103.02,Cash on Delivery,Social Media,Delivered,No,8,4
ORD100090,2024-03-21,CUST1336,Customer 1336,60,Female,Delhi,Delhi,Central,Home Office,Home & Kitchen,Table,Usha,4,15160.72,10,6064.29,54578.59,39842.73,14735.86,100.67,Cash on Delivery,Mobile App,Delivered,No,5,4
ORD100091,2024-12-27,CUST1077,Customer 1077,60,Other,West Bengal,Kolkata,Central,Home Office,Sports,Yoga Mat,Adidas,5,14972.81,15,11229.61,63634.44,48427.39,15207.05,204.13,Wallet,Mobile App,Delivered,No,7,3
ORD100092,2024-03-09,CUST1620,Customer 1620,27,Other,Uttar Pradesh,Greater Noida,East,Corporate,Electronics,Headphones,Logitech,2,93532.59,20,37413.04,149652.14,100193.56,49458.58,238.88,UPI,Mobile App,Delivered,No,8,3
ORD100093,2024-10-12,CUST1576,Customer 1576,25,Female,Tamil Nadu,Madurai,South,Home Office,Grocery,Biscuits,MDH,2,2403.27,0,0,4806.54,3810.49,996.05,139.79,Debit Card,Social Media,Delivered,No,5,4
ORD100094,2024-06-25,CUST1556,Customer 1556,36,Female,Delhi,Delhi,South,Home Office,Fashion,Jeans,Nike,4,11967.97,20,9574.38,38297.5,29503.9,8793.6,186.1,Wallet,Mobile App,Cancelled,No,0,0
ORD100095,2024-08-30,CUST1627,Customer 1627,23,Male,Maharashtra,Pune,West,Home Office,Home & Kitchen,Chair,Prestige,4,900.53,20,720.42,2881.7,2029.42,852.28,246.26,Cash on Delivery,Social Media,Delivered,No,5,4
ORD100096,2024-03-16,CUST1656,Customer 1656,55,Male,Tamil Nadu,Madurai,South,Corporate,Grocery,Wheat Flour,Fortune,4,1191.29,20,953.03,3812.13,2258.12,1554.01,212.39,Net Banking,Website,Cancelled,No,0,0
ORD100097,2024-11-26,CUST1565,Customer 1565,35,Male,Haryana,Faridabad,Central,Home Office,Electronics,Headphones,Apple,2,41849.76,15,12554.93,71144.59,58990.11,12154.48,85.13,UPI,Mobile App,Returned,Yes,0,3
ORD100098,2025-09-11,CUST1657,Customer 1657,54,Female,Rajasthan,Jodhpur,West,Home Office,Grocery,Cooking Oil,Fortune,3,2114.2,0,0,6342.6,5215.7,1126.9,36.24,Wallet,Website,Delivered,No,4,5
ORD100099,2024-11-05,CUST1162,Customer 1162,46,Female,Karnataka,Mangalore,South,Corporate,Beauty,Hair Dryer,Mamaearth,4,1582.54,25,1582.54,4747.62,3077.18,1670.44,46.05,Net Banking,Mobile App,Delivered,No,8,4
ORD100100,2024-05-13,CUST1461,Customer 1461,33,Male,Tamil Nadu,Coimbatore,East,Corporate,Home & Kitchen,Lamp,Milton,3,12995.76,5,1949.36,37037.92,24271.25,12766.67,132.62,Net Banking,Social Media,Delivered,No,2,1
ORD100101,2024-11-16,CUST1510,Customer 1510,19,Male,Rajasthan,Jodhpur,West,Consumer,Fashion,Sneakers,Zara,2,9228.52,30,5537.11,12919.93,11352.35,1567.58,132.7,Credit Card,Marketplace,Delivered,No,7,5
ORD100102,2024-10-19,CUST1375,Customer 1375,43,Female,West Bengal,Siliguri,West,Consumer,Electronics,Laptop,Apple,5,1477.2,5,369.3,7016.7,4857,2159.7,224.14,Net Banking,Mobile App,Returned,Yes,0,1
ORD100103,2025-07-17,CUST1348,Customer 1348,53,Female,Telangana,Warangal,Central,Home Office,Home & Kitchen,Table,Prestige,3,20676.46,5,3101.47,58927.91,34912.37,24015.54,51.27,Cash on Delivery,Website,Delivered,No,3,2
ORD100104,2025-06-15,CUST1403,Customer 1403,57,Other,Tamil Nadu,Coimbatore,East,Home Office,Electronics,Laptop,Dell,4,18298.41,10,7319.36,65874.28,43360.34,22513.94,164.87,Net Banking,Social Media,Delivered,No,5,5
ORD100105,2025-01-12,CUST1705,Customer 1705,58,Male,West Bengal,Kolkata,West,Corporate,Sports,Running Shoes,Adidas,3,10204.95,25,7653.71,22961.14,17051.44,5909.7,205.29,Wallet,Mobile App,Returned,Yes,0,5
ORD100106,2025-06-20,CUST1587,Customer 1587,62,Male,West Bengal,Kolkata,West,Corporate,Sports,Cricket Bat,Cosco,5,11686.71,25,14608.39,43825.16,26241.02,17584.14,179.76,Cash on Delivery,Mobile App,Delivered,No,4,1
ORD100107,2024-03-04,CUST1322,Customer 1322,29,Female,Telangana,Warangal,East,Home Office,Beauty,Hair Dryer,Lakme,2,3184.3,20,1273.72,5094.88,4480.34,614.54,135.24,Wallet,Marketplace,Delivered,No,6,5
ORD100108,2025-07-25,CUST1722,Customer 1722,49,Female,Maharashtra,Nagpur,East,Home Office,Grocery,Dry Fruits,Bru,3,600.92,15,270.41,1532.35,1232.76,299.59,185.08,Wallet,Marketplace,Returned,Yes,0,4
ORD100109,2025-02-08,CUST1081,Customer 1081,40,Female,Gujarat,Surat,West,Consumer,Home & Kitchen,Cooker,Havells,3,23876.57,10,7162.97,64466.74,41635.8,22830.94,93.28,Credit Card,Marketplace,Returned,Yes,0,3
ORD100110,2024-09-05,CUST1339,Customer 1339,63,Female,Delhi,New Delhi,North,Home Office,Grocery,Coffee,Fortune,1,1691.09,10,169.11,1521.98,1157.5,364.48,41.55,Credit Card,Social Media,Delivered,No,2,2
ORD100111,2024-11-24,CUST1741,Customer 1741,20,Male,Maharashtra,Nagpur,South,Consumer,Sports,Yoga Mat,Puma,3,9794.7,5,1469.2,27914.9,21362.12,6552.78,81.09,Cash on Delivery,Social Media,Returned,Yes,0,4
ORD100112,2025-08-04,CUST1537,Customer 1537,49,Male,Uttar Pradesh,Varanasi,Central,Corporate,Fashion,Dress,Levis,5,1555.42,20,1555.42,6221.68,4006.17,2215.51,247.6,Debit Card,Mobile App,Cancelled,No,0,0
